strain_entity_id,outer_fold,control_type,seed,replicate,cosine_TRUE_control,embedding_displacement,l2_distance,fold_matched_lineage95_encoder,phenotype_labels_used,encoder_retrained,encoder_finetuned
STRAIN_000630,1,LOCAL_W10,442,5,0.9277510643005371,0.07224893569946289,0.38012856245040894,True,False,False,False
STRAIN_000632,1,LOCAL_W10,42,1,0.9370441436767578,0.06295585632324219,0.3548404574394226,True,False,False,False
STRAIN_000632,1,LOCAL_W10,142,2,0.931847095489502,0.06815290451049805,0.3691962957382202,True,False,False,False
STRAIN_000632,1,LOCAL_W10,242,3,0.9406318664550781,0.059368133544921875,0.3445812463760376,True,False,False,False
STRAIN_000632,1,LOCAL_W10,342,4,0.9315178394317627,0.0684821605682373,0.37008678913116455,True,False,False,False
STRAIN_000632,1,LOCAL_W10,442,5,0.9375271201133728,0.0624728798866272,0.3534766435623169,True,False,False,False
STRAIN_000644,1,LOCAL_W10,42,1,0.9247738122940063,0.07522618770599365,0.38788190484046936,True,False,False,False
STRAIN_000644,1,LOCAL_W10,142,2,0.9292066693305969,0.07079333066940308,0.3762800693511963,True,False,False,False
STRAIN_000644,1,LOCAL_W10,242,3,0.9317095279693604,0.06829047203063965,0.36956873536109924,True,False,False,False
STRAIN_000644,1,LOCAL_W10,342,4,0.9309635162353516,0.06903648376464844,0.3715818226337433,True,False,False,False
STRAIN_000644,1,LOCAL_W10,442,5,0.9360486268997192,0.06395137310028076,0.3576350212097168,True,False,False,False
STRAIN_000646,1,LOCAL_W10,42,1,0.9298491477966309,0.07015085220336914,0.37456876039505005,True,False,False,False
STRAIN_000646,1,LOCAL_W10,142,2,0.9338242411613464,0.06617575883865356,0.36380138993263245,True,False,False,False
STRAIN_000646,1,LOCAL_W10,242,3,0.9379243850708008,0.06207561492919922,0.35235121846199036,True,False,False,False
STRAIN_000646,1,LOCAL_W10,342,4,0.9199621677398682,0.08003783226013184,0.400094598531723,True,False,False,False
STRAIN_000646,1,LOCAL_W10,442,5,0.9329851865768433,0.06701481342315674,0.3661006987094879,True,False,False,False
STRAIN_000656,1,LOCAL_W10,42,1,0.935872495174408,0.06412750482559204,0.35812702775001526,True,False,False,False
STRAIN_000656,1,LOCAL_W10,142,2,0.9265871644020081,0.07341283559799194,0.38317838311195374,True,False,False,False
STRAIN_000656,1,LOCAL_W10,242,3,0.9154708385467529,0.08452916145324707,0.4111667573451996,True,False,False,False
STRAIN_000656,1,LOCAL_W10,342,4,0.9254779815673828,0.07452201843261719,0.3860621452331543,True,False,False,False
STRAIN_000656,1,LOCAL_W10,442,5,0.9275975823402405,0.07240241765975952,0.3805324137210846,True,False,False,False
STRAIN_000661,1,LOCAL_W10,42,1,0.9337772130966187,0.06622278690338135,0.36393076181411743,True,False,False,False
STRAIN_000661,1,LOCAL_W10,142,2,0.9293725490570068,0.07062745094299316,0.3758390545845032,True,False,False,False
STRAIN_000661,1,LOCAL_W10,242,3,0.9359457492828369,0.06405425071716309,0.35792261362075806,True,False,False,False
STRAIN_000661,1,LOCAL_W10,342,4,0.9234507083892822,0.07654929161071777,0.39127808809280396,True,False,False,False
