strain_entity_id,outer_fold,control_type,seed,replicate,cosine_TRUE_control,embedding_displacement,l2_distance,fold_matched_lineage95_encoder,phenotype_labels_used,encoder_retrained,encoder_finetuned
STRAIN_000481,5,TIGHTBLOCK50,142,2,0.9926437139511108,0.00735628604888916,0.12129564583301544,True,False,False,False
STRAIN_000481,5,TIGHTBLOCK50,242,3,0.993370532989502,0.006629467010498047,0.11514735966920853,True,False,False,False
STRAIN_000481,5,TIGHTBLOCK50,342,4,0.9928351044654846,0.007164895534515381,0.1197066456079483,True,False,False,False
STRAIN_000481,5,TIGHTBLOCK50,442,5,0.9931238889694214,0.006876111030578613,0.11726976931095123,True,False,False,False
STRAIN_000482,5,TIGHTBLOCK50,42,1,0.9937907457351685,0.006209254264831543,0.1114378571510315,True,False,False,False
STRAIN_000482,5,TIGHTBLOCK50,142,2,0.993904709815979,0.006095290184020996,0.11041133105754852,True,False,False,False
STRAIN_000482,5,TIGHTBLOCK50,242,3,0.9928438663482666,0.0071561336517333984,0.11963352560997009,True,False,False,False
STRAIN_000482,5,TIGHTBLOCK50,342,4,0.9938589930534363,0.006141006946563721,0.11082448810338974,True,False,False,False
STRAIN_000482,5,TIGHTBLOCK50,442,5,0.9924275875091553,0.0075724124908447266,0.12306409329175949,True,False,False,False
STRAIN_000485,5,TIGHTBLOCK50,42,1,0.9902191162109375,0.0097808837890625,0.13986319303512573,True,False,False,False
STRAIN_000485,5,TIGHTBLOCK50,142,2,0.9877246618270874,0.012275338172912598,0.15668641030788422,True,False,False,False
STRAIN_000485,5,TIGHTBLOCK50,242,3,0.9893853664398193,0.010614633560180664,0.14570239186286926,True,False,False,False
STRAIN_000485,5,TIGHTBLOCK50,342,4,0.9879329204559326,0.012067079544067383,0.15535171329975128,True,False,False,False
STRAIN_000485,5,TIGHTBLOCK50,442,5,0.9867345690727234,0.013265430927276611,0.16288287937641144,True,False,False,False
STRAIN_000486,5,TIGHTBLOCK50,42,1,0.9939213991165161,0.006078600883483887,0.1102592945098877,True,False,False,False
STRAIN_000486,5,TIGHTBLOCK50,142,2,0.9930538535118103,0.006946146488189697,0.11786520481109619,True,False,False,False
STRAIN_000486,5,TIGHTBLOCK50,242,3,0.9932859539985657,0.006714046001434326,0.11588006466627121,True,False,False,False
STRAIN_000486,5,TIGHTBLOCK50,342,4,0.992495059967041,0.007504940032958984,0.12251550704240799,True,False,False,False
STRAIN_000486,5,TIGHTBLOCK50,442,5,0.9943357706069946,0.005664229393005371,0.10643533617258072,True,False,False,False
STRAIN_000487,5,TIGHTBLOCK50,42,1,0.9922770857810974,0.007722914218902588,0.1242804005742073,True,False,False,False
STRAIN_000487,5,TIGHTBLOCK50,142,2,0.9937025308609009,0.006297469139099121,0.11222660541534424,True,False,False,False
STRAIN_000487,5,TIGHTBLOCK50,242,3,0.9923142194747925,0.0076857805252075195,0.12398228794336319,True,False,False,False
STRAIN_000487,5,TIGHTBLOCK50,342,4,0.9925678968429565,0.007432103157043457,0.12191860377788544,True,False,False,False
STRAIN_000487,5,TIGHTBLOCK50,442,5,0.9931496381759644,0.0068503618240356445,0.11705052852630615,True,False,False,False
STRAIN_000488,5,TIGHTBLOCK50,42,1,0.9928752183914185,0.007124781608581543,0.11937262862920761,True,False,False,False
STRAIN_000488,5,TIGHTBLOCK50,142,2,0.9930999279022217,0.00690007209777832,0.11747460812330246,True,False,False,False
STRAIN_000488,5,TIGHTBLOCK50,242,3,0.9929389357566833,0.00706106424331665,0.11883659660816193,True,False,False,False
STRAIN_000488,5,TIGHTBLOCK50,342,4,0.9943206906318665,0.005679309368133545,0.10657777637243271,True,False,False,False
STRAIN_000488,5,TIGHTBLOCK50,442,5,0.99465411901474,0.00534588098526001,0.10340199619531631,True,False,False,False
STRAIN_000489,5,TIGHTBLOCK50,42,1,0.9917968511581421,0.00820314884185791,0.128086656332016,True,False,False,False
STRAIN_000489,5,TIGHTBLOCK50,142,2,0.9896865487098694,0.010313451290130615,0.14362111687660217,True,False,False,False
STRAIN_000489,5,TIGHTBLOCK50,242,3,0.9930779337882996,0.0069220662117004395,0.11766131967306137,True,False,False,False
STRAIN_000489,5,TIGHTBLOCK50,342,4,0.9882878065109253,0.011712193489074707,0.1530507355928421,True,False,False,False
STRAIN_000489,5,TIGHTBLOCK50,442,5,0.9928593635559082,0.007140636444091797,0.11950431019067764,True,False,False,False
STRAIN_000493,5,TIGHTBLOCK50,42,1,0.9926537275314331,0.0073462724685668945,0.12121228128671646,True,False,False,False
STRAIN_000493,5,TIGHTBLOCK50,142,2,0.9908832311630249,0.009116768836975098,0.13503184914588928,True,False,False,False
STRAIN_000493,5,TIGHTBLOCK50,242,3,0.9896130561828613,0.010386943817138672,0.14413206279277802,True,False,False,False
STRAIN_000493,5,TIGHTBLOCK50,342,4,0.9916434288024902,0.008356571197509766,0.12928014993667603,True,False,False,False
STRAIN_000493,5,TIGHTBLOCK50,442,5,0.9903216361999512,0.009678363800048828,0.13912837207317352,True,False,False,False
STRAIN_000495,5,TIGHTBLOCK50,42,1,0.9915168285369873,0.008483171463012695,0.13025426864624023,True,False,False,False
STRAIN_000495,5,TIGHTBLOCK50,142,2,0.9913725256919861,0.008627474308013916,0.13135768473148346,True,False,False,False
STRAIN_000495,5,TIGHTBLOCK50,242,3,0.9899955987930298,0.010004401206970215,0.14145223796367645,True,False,False,False
STRAIN_000495,5,TIGHTBLOCK50,342,4,0.9904536008834839,0.009546399116516113,0.1381761133670807,True,False,False,False
