outer_fold,strain_entity_id,control_type,n_seeds,displacement_mean,displacement_median,displacement_sd
1,STRAIN_000838,LOCAL_W10,5,0.07831008434295654,0.07855260372161865,0.0056151331043667015
1,STRAIN_000845,LOCAL_W10,5,0.06935431957244872,0.06650078296661377,0.009498063412693648
1,STRAIN_000846,LOCAL_W10,5,0.06921958923339844,0.06858527660369873,0.004525210521452344
1,STRAIN_000849,LOCAL_W10,5,0.07171902656555176,0.07039773464202881,0.005975862011929821
1,STRAIN_000851,LOCAL_W10,5,0.048619747161865234,0.04769521951675415,0.004586270833435057
1,STRAIN_000854,LOCAL_W10,5,0.07278810739517212,0.07052624225616455,0.008521829806072134
1,STRAIN_000862,LOCAL_W10,5,0.07060474157333374,0.07194656133651733,0.004336756531639758
1,STRAIN_000864,LOCAL_W10,5,0.07441761493682861,0.0745202898979187,0.004915872478449175
1,STRAIN_000865,LOCAL_W10,5,0.0717545747756958,0.07102751731872559,0.0025963728257060565
1,STRAIN_000867,LOCAL_W10,5,0.07856886386871338,0.07996201515197754,0.004847760701339734
1,STRAIN_000876,LOCAL_W10,5,0.07806487083435058,0.07491683959960938,0.005215747184928658
1,STRAIN_000877,LOCAL_W10,5,0.07019641399383544,0.06962215900421143,0.009818466161170254
1,STRAIN_000888,LOCAL_W10,5,0.06998063325881958,0.06986945867538452,0.0028791098872376786
1,STRAIN_000899,LOCAL_W10,5,0.06913409233093262,0.06772708892822266,0.0031431558069286085
1,STRAIN_000913,LOCAL_W10,5,0.07172183990478516,0.07095104455947876,0.006970772888904459
1,STRAIN_000917,LOCAL_W10,5,0.06863168478012086,0.07042372226715088,0.005928242840000976
1,STRAIN_000920,LOCAL_W10,5,0.07214101552963256,0.0723717212677002,0.004986956266855656
1,STRAIN_000924,LOCAL_W10,5,0.07683278322219848,0.07731914520263672,0.0010935812971499326
1,STRAIN_000936,LOCAL_W10,5,0.0652782678604126,0.06526970863342285,0.008246760077840212
1,STRAIN_000937,LOCAL_W10,5,0.060604202747344973,0.060549139976501465,0.004388776597247854
1,STRAIN_000949,LOCAL_W10,5,0.07116003036499023,0.07067418098449707,0.003378038056075942
1,STRAIN_000955,LOCAL_W10,5,0.06014350652694702,0.05680161714553833,0.008482375150841113
1,STRAIN_000967,LOCAL_W10,5,0.07423713207244872,0.0711444616317749,0.010636496426338899
1,STRAIN_000970,LOCAL_W10,5,0.06288774013519287,0.06146740913391113,0.005043623896520082
1,STRAIN_000975,LOCAL_W10,5,0.08269128799438477,0.07249999046325684,0.028159651599982093
1,STRAIN_000991,LOCAL_W10,5,0.06511870622634888,0.0667768120765686,0.004534953245302308
1,STRAIN_000993,LOCAL_W10,5,0.06052842140197754,0.0591510534286499,0.0045506862745314566
1,STRAIN_000994,LOCAL_W10,5,0.06614675521850585,0.06844991445541382,0.007460736524620963
1,STRAIN_001006,LOCAL_W10,5,0.06616965532302857,0.06844484806060791,0.007101574905630793
1,STRAIN_001007,LOCAL_W10,5,0.07966983318328857,0.08006954193115234,0.004194447623352205
1,STRAIN_001009,LOCAL_W10,5,0.07912447452545165,0.07477736473083496,0.008508743251822857
1,STRAIN_001013,LOCAL_W10,5,0.06914089918136597,0.06905055046081543,0.006438401804894906
1,STRAIN_001019,LOCAL_W10,5,0.0541426420211792,0.05594491958618164,0.007280613474976418
1,STRAIN_001021,LOCAL_W10,5,0.07014328241348267,0.0715147852897644,0.004379874682636891
1,STRAIN_000002,TIGHTBLOCK50,5,0.0137520432472229,0.013685643672943115,0.0013275050434696483
1,STRAIN_000015,TIGHTBLOCK50,5,0.009686565399169922,0.010070204734802246,0.0009369307014581835
1,STRAIN_000033,TIGHTBLOCK50,5,0.0127532958984375,0.012632012367248535,0.0005036859840288765
1,STRAIN_000070,TIGHTBLOCK50,5,0.015496337413787841,0.015084326267242432,0.0008584317583815143
1,STRAIN_000075,TIGHTBLOCK50,5,0.014891588687896728,0.01303720474243164,0.006801225754867581
1,STRAIN_000113,TIGHTBLOCK50,5,0.007355213165283203,0.0075037479400634766,0.0004517221578624728
1,STRAIN_000114,TIGHTBLOCK50,5,0.015027928352355956,0.015011191368103027,0.0013752314073407876
1,STRAIN_000115,TIGHTBLOCK50,5,0.014983904361724854,0.014819622039794922,0.0018692969084607015
1,STRAIN_000118,TIGHTBLOCK50,5,0.005148124694824219,0.005114078521728516,0.0006078850734857338
1,STRAIN_000119,TIGHTBLOCK50,5,0.0072662591934204105,0.006906092166900635,0.0011627916733748193
1,STRAIN_000125,TIGHTBLOCK50,5,0.01518028974533081,0.01508420705795288,0.0006007426123664986
1,STRAIN_000130,TIGHTBLOCK50,5,0.011791181564331055,0.011809110641479492,0.0005176133439312253
1,STRAIN_000134,TIGHTBLOCK50,5,0.0037860631942749023,0.004014730453491211,0.0009669243876229749
1,STRAIN_000142,TIGHTBLOCK50,5,0.014930689334869384,0.014723062515258789,0.00035880533137864335
1,STRAIN_000143,TIGHTBLOCK50,5,0.024042797088623048,0.024402141571044922,0.0007238915219986238
1,STRAIN_000149,TIGHTBLOCK50,5,0.013501834869384766,0.01362144947052002,0.0008154935704986714
1,STRAIN_000152,TIGHTBLOCK50,5,0.005542612075805664,0.005375325679779053,0.0009436460273787494
1,STRAIN_000153,TIGHTBLOCK50,5,0.006607723236083984,0.006418406963348389,0.0009771499072991161
1,STRAIN_000158,TIGHTBLOCK50,5,0.009659719467163087,0.00988239049911499,0.0007800164410779046
1,STRAIN_000161,TIGHTBLOCK50,5,0.020216870307922363,0.01954174041748047,0.0017620415227139555
1,STRAIN_000162,TIGHTBLOCK50,5,0.01381765604019165,0.014108717441558838,0.0008651258385425002
1,STRAIN_000164,TIGHTBLOCK50,5,0.009056413173675537,0.008736729621887207,0.0008246050865451608
1,STRAIN_000172,TIGHTBLOCK50,5,0.008538758754730225,0.008240997791290283,0.0010442529344571957
1,STRAIN_000182,TIGHTBLOCK50,5,0.003757214546203613,0.0037374496459960938,0.0004659469302517862
1,STRAIN_000186,TIGHTBLOCK50,5,0.0079473614692688,0.007988810539245605,0.00022170302212519497
1,STRAIN_000188,TIGHTBLOCK50,5,0.007953178882598878,0.007863461971282959,0.0003467229427142434
1,STRAIN_000190,TIGHTBLOCK50,5,0.013985526561737061,0.013917148113250732,0.0007040236073426052
1,STRAIN_000191,TIGHTBLOCK50,5,0.013923466205596924,0.014080226421356201,0.0010976552391019087
1,STRAIN_000194,TIGHTBLOCK50,5,0.007291960716247559,0.007465481758117676,0.0007695139634267764
1,STRAIN_000199,TIGHTBLOCK50,5,0.013912677764892578,0.013913869857788086,0.0007836662711859869
1,STRAIN_000202,TIGHTBLOCK50,5,0.03359850645065308,0.03230118751525879,0.0044414082167788076
1,STRAIN_000230,TIGHTBLOCK50,5,0.01616077423095703,0.01621556282043457,0.0010034961765928874
1,STRAIN_000231,TIGHTBLOCK50,5,0.0076762914657592775,0.007567644119262695,0.00036498663292660623
1,STRAIN_000239,TIGHTBLOCK50,5,0.01264873743057251,0.012380242347717285,0.0011158544648733658
1,STRAIN_000243,TIGHTBLOCK50,5,0.012956929206848145,0.013385653495788574,0.0010680462231384942
1,STRAIN_000256,TIGHTBLOCK50,5,0.005079507827758789,0.004481673240661621,0.0017433257460462868
1,STRAIN_000260,TIGHTBLOCK50,5,0.009736299514770508,0.007840871810913086,0.003664533458263257
1,STRAIN_000263,TIGHTBLOCK50,5,0.02020972967147827,0.02040189504623413,0.0018577871782529422
1,STRAIN_000267,TIGHTBLOCK50,5,0.010354280471801758,0.010332345962524414,0.002649059711438794
1,STRAIN_000271,TIGHTBLOCK50,5,0.01600651741027832,0.016405582427978516,0.0014076853793322968
1,STRAIN_000276,TIGHTBLOCK50,5,0.013168811798095703,0.013025462627410889,0.0008526584049679821
1,STRAIN_000287,TIGHTBLOCK50,5,0.008067929744720459,0.007830202579498291,0.0004201310637234623
1,STRAIN_000302,TIGHTBLOCK50,5,0.012071716785430908,0.012458384037017822,0.0010575830656100284
