subset,contrast,left_variant,right_variant,metric,paired_lineages,mean_delta,median_delta,CI_low,CI_high,bootstrap_probability_delta_gt_0,fraction_lineages_delta_gt_0,fraction_lineages_delta_ge_0
same_strand_only,ContextualEdge_gain_over_pair,A3_PairPlusEdge,A2_PairInteraction,MCC,54,0.01206755273644568,0.01123505124993357,0.004994710142181277,0.01920635506577266,0.9996,0.6666666666666666,0.6666666666666666
same_strand_only,Global_gain_over_pair,A4_PairPlusGlobal,A2_PairInteraction,ROC_AUC,54,-0.011433416608362291,-0.006542358592846742,-0.017323670983540724,-0.006189979666265584,0.0,0.2962962962962963,0.2962962962962963
same_strand_only,Global_gain_over_pair,A4_PairPlusGlobal,A2_PairInteraction,PR_AUC,54,-0.00825403855495412,-0.003175597107368866,-0.01311925053204491,-0.0037874549017903113,0.0002,0.3148148148148148,0.3148148148148148
same_strand_only,Global_gain_over_pair,A4_PairPlusGlobal,A2_PairInteraction,MCC,54,-0.021529607535088015,-0.014406686899920113,-0.03345320808570759,-0.010951992883778735,0.0,0.3333333333333333,0.3333333333333333
same_strand_only,Global_gain_given_edge,A5_Full768,A3_PairPlusEdge,ROC_AUC,54,-0.010125994491647248,-0.009325233081514728,-0.013367538329706677,-0.006847701790030878,0.0,0.16666666666666666,0.16666666666666666
same_strand_only,Global_gain_given_edge,A5_Full768,A3_PairPlusEdge,PR_AUC,54,-0.0071520049305689596,-0.005844252215105705,-0.009894295501003007,-0.004478881709763214,0.0,0.24074074074074073,0.24074074074074073
same_strand_only,Global_gain_given_edge,A5_Full768,A3_PairPlusEdge,MCC,54,-0.019094266942098304,-0.021031404254148275,-0.02614236424079566,-0.012193481524103824,0.0,0.2777777777777778,0.2777777777777778
same_strand_only,ContextualEdge_gain_given_global,A5_Full768,A4_PairPlusGlobal,ROC_AUC,54,0.0071486946016627905,0.0013443945014732783,0.002263676221910431,0.012866707808041234,0.9984,0.5925925925925926,0.5925925925925926
same_strand_only,ContextualEdge_gain_given_global,A5_Full768,A4_PairPlusGlobal,PR_AUC,54,0.0050651677942881845,0.002042100560915805,0.00121394682474261,0.009680967205912662,0.998,0.5740740740740741,0.5740740740740741
same_strand_only,ContextualEdge_gain_given_global,A5_Full768,A4_PairPlusGlobal,MCC,54,0.014502893329435386,0.004060691043263787,0.0045009238781396925,0.025810424098395526,0.9986,0.5925925925925926,0.5925925925925926
