door_accession,door_accession_key,door_assembly_number,door_version,door_prefix,genome_dir,feature_table_member,operon_member,has_operon_label_file
GCA_000021085.1,000021085.1,000021085,1,GCA,data/Buchnera_aphidicola_str._5A_(Acyrthosiphon_pisum),data/Buchnera_aphidicola_str._5A_(Acyrthosiphon_pisum)/GCA_000021085.1_ASM2108v1_feature_table.txt,data/Buchnera_aphidicola_str._5A_(Acyrthosiphon_pisum)/Buchnera_aphidicola_str._5A_(Acyrthosiphon_pisum)_NC_011833_operon_classification_output.txt,True
GCA_000021125.1,000021125.1,000021125,1,GCA,data/Escherichia_coli_O157H7_str._EC4115,data/Escherichia_coli_O157H7_str._EC4115/GCA_000021125.1_ASM2112v1_feature_table.txt,data/Escherichia_coli_O157H7_str._EC4115/Escherichia_coli_O157H7_str._EC4115_NC_011353_operon_classification_output.txt,True
GCA_000021165.1,000021165.1,000021165,1,GCA,data/Helicobacter_pylori_G27,data/Helicobacter_pylori_G27/GCA_000021165.1_ASM2116v1_feature_table.txt,data/Helicobacter_pylori_G27/Helicobacter_pylori_G27_NC_011333_operon_classification_output.txt,True
GCA_000021185.1,000021185.1,000021185,1,GCA,data/Listeria_monocytogenes_HCC23,data/Listeria_monocytogenes_HCC23/GCA_000021185.1_ASM2118v1_feature_table.txt,data/Listeria_monocytogenes_HCC23/Listeria_monocytogenes_HCC23_NC_011660_operon_classification_output.txt,True
GCA_000021205.1,000021205.1,000021205,1,GCA,data/Bacillus_cereus_B4264,data/Bacillus_cereus_B4264/GCA_000021205.1_ASM2120v1_feature_table.txt,data/Bacillus_cereus_B4264/Bacillus_cereus_B4264_NC_011725_operon_classification_output.txt,True
GCA_000021225.1,000021225.1,000021225,1,GCA,data/Bacillus_cereus_AH187,data/Bacillus_cereus_AH187/GCA_000021225.1_ASM2122v1_feature_table.txt,data/Bacillus_cereus_AH187/Bacillus_cereus_AH187_NC_011658_operon_classification_output.txt,True
GCA_000021245.2,000021245.2,000021245,2,GCA,data/Acinetobacter_baumannii_AB0057,data/Acinetobacter_baumannii_AB0057/GCA_000021245.2_ASM2124v2_feature_table.txt,data/Acinetobacter_baumannii_AB0057/Acinetobacter_baumannii_AB0057_NC_011586_operon_classification_output.txt,True
GCA_000021265.1,000021265.1,000021265,1,GCA,data/Ureaplasma_urealyticum_serovar_10_str._ATCC_33699,data/Ureaplasma_urealyticum_serovar_10_str._ATCC_33699/GCA_000021265.1_ASM2126v1_feature_table.txt,data/Ureaplasma_urealyticum_serovar_10_str._ATCC_33699/Ureaplasma_urealyticum_serovar_10_str._ATCC_33699_NC_011374_operon_classification_output.txt,True
GCA_000021285.1,000021285.1,000021285,1,GCA,data/Thermosipho_africanus_TCF52B,data/Thermosipho_africanus_TCF52B/GCA_000021285.1_ASM2128v1_feature_table.txt,data/Thermosipho_africanus_TCF52B/Thermosipho_africanus_TCF52B_NC_011653_operon_classification_output.txt,True
GCA_000021305.1,000021305.1,000021305,1,GCA,data/Bacillus_cereus_G9842,data/Bacillus_cereus_G9842/GCA_000021305.1_ASM2130v1_feature_table.txt,data/Bacillus_cereus_G9842/Bacillus_cereus_G9842_NC_011772_operon_classification_output.txt,True
GCA_000021345.1,000021345.1,000021345,1,GCA,data/Rhizobium_leguminosarum_bv._trifolii_WSM2304,data/Rhizobium_leguminosarum_bv._trifolii_WSM2304/GCA_000021345.1_ASM2134v1_feature_table.txt,data/Rhizobium_leguminosarum_bv._trifolii_WSM2304/Rhizobium_leguminosarum_bv._trifolii_WSM2304_NC_011369_operon_classification_output.txt,True
GCA_000021385.1,000021385.1,000021385,1,GCA,data/Desulfovibrio_vulgaris_str._'Miyazaki_F',data/Desulfovibrio_vulgaris_str._'Miyazaki_F'/GCA_000021385.1_ASM2138v1_feature_table.txt,data/Desulfovibrio_vulgaris_str._'Miyazaki_F'/Desulfovibrio_vulgaris_str._'Miyazaki_F'_NC_011769_operon_classification_output.txt,True
