_registry_row,strain_entity_id,current_genome_key,registry_accession_candidates,registry_accession_bases,n_accession_candidates,accession_source_columns
912,STRAIN_000913,GCF_038096155.1,GCF_038096155.1 | GCA_038096155.1,GCF_038096155 | GCA_038096155,2,"GCF_038096155.1:current_genome_key,primary_accession,gcf_accession || GCA_038096155.1:gca_accession,local_genome_files"
913,STRAIN_000914,GCF_038149605.1,GCF_038149605.1 | GCA_038149605.1,GCF_038149605 | GCA_038149605,2,"GCF_038149605.1:current_genome_key,primary_accession,gcf_accession || GCA_038149605.1:gca_accession,local_genome_files"
914,STRAIN_000915,GCF_038419715.1,GCF_038419715.1 | GCA_038419715.1,GCF_038419715 | GCA_038419715,2,"GCF_038419715.1:current_genome_key,primary_accession,gcf_accession || GCA_038419715.1:gca_accession,local_genome_files"
915,STRAIN_000916,GCF_039566335.1,GCF_039566335.1 | GCA_039566335.1,GCF_039566335 | GCA_039566335,2,"GCF_039566335.1:current_genome_key,primary_accession,gcf_accession || GCA_039566335.1:gca_accession,local_genome_files"
916,STRAIN_000917,GCF_039612675.1,GCF_039612675.1 | GCA_039612675.1,GCF_039612675 | GCA_039612675,2,"GCF_039612675.1:current_genome_key,primary_accession,gcf_accession || GCA_039612675.1:gca_accession,local_genome_files"
917,STRAIN_000918,GCF_039631215.1,GCF_039631215.1 | GCA_039631215.1,GCF_039631215 | GCA_039631215,2,"GCF_039631215.1:current_genome_key,primary_accession,gcf_accession || GCA_039631215.1:gca_accession,local_genome_files"
918,STRAIN_000919,GCF_039654845.1,GCF_039654845.1 | GCA_039654845.1,GCF_039654845 | GCA_039654845,2,"GCF_039654845.1:current_genome_key,primary_accession,gcf_accession || GCA_039654845.1:gca_accession,local_genome_files"
919,STRAIN_000920,GCF_039725565.1,GCF_039725565.1 | GCA_039725565.1,GCF_039725565 | GCA_039725565,2,"GCF_039725565.1:current_genome_key,primary_accession,gcf_accession || GCA_039725565.1:gca_accession,local_genome_files"
920,STRAIN_000921,GCF_039783625.1,GCF_039783625.1 | GCA_039783625.1,GCF_039783625 | GCA_039783625,2,"GCF_039783625.1:current_genome_key,primary_accession,gcf_accession || GCA_039783625.1:gca_accession,local_genome_files"
921,STRAIN_000922,GCF_039880475.1,GCF_039880475.1 | GCA_039880475.1,GCF_039880475 | GCA_039880475,2,"GCF_039880475.1:current_genome_key,primary_accession,gcf_accession || GCA_039880475.1:gca_accession,local_genome_files"
922,STRAIN_000923,GCF_040267755.1,GCF_040267755.1 | GCA_040267755.1,GCF_040267755 | GCA_040267755,2,"GCF_040267755.1:current_genome_key,primary_accession,gcf_accession || GCA_040267755.1:gca_accession,local_genome_files"
923,STRAIN_000924,GCF_040435965.1,GCF_040435965.1 | GCA_040435965.1,GCF_040435965 | GCA_040435965,2,"GCF_040435965.1:current_genome_key,primary_accession,gcf_accession || GCA_040435965.1:gca_accession,local_genome_files"
924,STRAIN_000925,GCF_040446565.1,GCF_040446565.1 | GCA_040446565.1,GCF_040446565 | GCA_040446565,2,"GCF_040446565.1:current_genome_key,primary_accession,gcf_accession || GCA_040446565.1:gca_accession,local_genome_files"
925,STRAIN_000926,GCF_040567705.1,GCF_040567705.1 | GCA_040567705.1,GCF_040567705 | GCA_040567705,2,"GCF_040567705.1:current_genome_key,primary_accession,gcf_accession || GCA_040567705.1:gca_accession,local_genome_files"
926,STRAIN_000927,GCF_040705195.1,GCF_040705195.1 | GCA_040705195.1,GCF_040705195 | GCA_040705195,2,"GCF_040705195.1:current_genome_key,primary_accession,gcf_accession || GCA_040705195.1:gca_accession,local_genome_files"
927,STRAIN_000928,GCF_040719475.1,GCF_040719475.1 | GCA_040719475.1,GCF_040719475 | GCA_040719475,2,"GCF_040719475.1:current_genome_key,primary_accession,gcf_accession || GCA_040719475.1:gca_accession,local_genome_files"
928,STRAIN_000929,GCF_040822565.1,GCF_040822565.1 | GCA_040822565.1,GCF_040822565 | GCA_040822565,2,"GCF_040822565.1:current_genome_key,primary_accession,gcf_accession || GCA_040822565.1:gca_accession,local_genome_files"
929,STRAIN_000930,GCF_040924945.1,GCF_040924945.1 | GCA_040924945.1,GCF_040924945 | GCA_040924945,2,"GCF_040924945.1:current_genome_key,primary_accession,gcf_accession || GCA_040924945.1:gca_accession,local_genome_files"
930,STRAIN_000931,GCF_040962025.1,GCF_040962025.1 | GCA_040962025.1,GCF_040962025 | GCA_040962025,2,"GCF_040962025.1:current_genome_key,primary_accession,gcf_accession || GCA_040962025.1:gca_accession,local_genome_files"
931,STRAIN_000932,GCF_041080595.1,GCF_041080595.1 | GCA_041080595.1,GCF_041080595 | GCA_041080595,2,"GCF_041080595.1:current_genome_key,primary_accession,gcf_accession || GCA_041080595.1:gca_accession,local_genome_files"
932,STRAIN_000933,GCF_041357755.1,GCF_041357755.1 | GCA_041357755.1,GCF_041357755 | GCA_041357755,2,"GCF_041357755.1:current_genome_key,primary_accession,gcf_accession || GCA_041357755.1:gca_accession,local_genome_files"
933,STRAIN_000934,GCF_041413225.1,GCF_041413225.1 | GCA_041413225.1,GCF_041413225 | GCA_041413225,2,"GCF_041413225.1:current_genome_key,primary_accession,gcf_accession || GCA_041413225.1:gca_accession,local_genome_files"
934,STRAIN_000935,GCF_041725645.1,GCF_041725645.1 | GCA_041725645.1,GCF_041725645 | GCA_041725645,2,"GCF_041725645.1:current_genome_key,primary_accession,gcf_accession || GCA_041725645.1:gca_accession,local_genome_files"
935,STRAIN_000936,GCF_041888795.1,GCF_041888795.1 | GCA_041888795.1,GCF_041888795 | GCA_041888795,2,"GCF_041888795.1:current_genome_key,primary_accession,gcf_accession || GCA_041888795.1:gca_accession,local_genome_files"
936,STRAIN_000937,GCF_041888805.1,GCF_041888805.1 | GCA_041888805.1,GCF_041888805 | GCA_041888805,2,"GCF_041888805.1:current_genome_key,primary_accession,gcf_accession || GCA_041888805.1:gca_accession,local_genome_files"
937,STRAIN_000938,GCF_042691645.1,GCF_042691645.1 | GCA_042691645.1,GCF_042691645 | GCA_042691645,2,"GCF_042691645.1:current_genome_key,primary_accession,gcf_accession || GCA_042691645.1:gca_accession,local_genome_files"
938,STRAIN_000939,GCF_043951895.1,GCF_043951895.1 | GCA_043951895.1,GCF_043951895 | GCA_043951895,2,"GCF_043951895.1:current_genome_key,primary_accession,gcf_accession || GCA_043951895.1:gca_accession,local_genome_files"
939,STRAIN_000940,GCF_044283575.1,GCF_044283575.1 | GCA_044283575.1,GCF_044283575 | GCA_044283575,2,"GCF_044283575.1:current_genome_key,primary_accession,gcf_accession || GCA_044283575.1:gca_accession,local_genome_files"
940,STRAIN_000941,GCF_044383485.1,GCF_044383485.1 | GCA_044383485.1,GCF_044383485 | GCA_044383485,2,"GCF_044383485.1:current_genome_key,primary_accession,gcf_accession || GCA_044383485.1:gca_accession,local_genome_files"
941,STRAIN_000942,GCF_044758965.1,GCF_044758965.1 | GCA_044758965.1,GCF_044758965 | GCA_044758965,2,"GCF_044758965.1:current_genome_key,primary_accession,gcf_accession || GCA_044758965.1:gca_accession,local_genome_files"
942,STRAIN_000943,GCF_045256955.1,GCF_045256955.1 | GCA_045256955.1,GCF_045256955 | GCA_045256955,2,"GCF_045256955.1:current_genome_key,primary_accession,gcf_accession || GCA_045256955.1:gca_accession,local_genome_files"
943,STRAIN_000944,GCF_045689685.1,GCF_045689685.1 | GCA_045689685.1,GCF_045689685 | GCA_045689685,2,"GCF_045689685.1:current_genome_key,primary_accession,gcf_accession || GCA_045689685.1:gca_accession,local_genome_files"
944,STRAIN_000945,GCF_045866315.1,GCF_045866315.1 | GCA_045866315.1,GCF_045866315 | GCA_045866315,2,"GCF_045866315.1:current_genome_key,primary_accession,gcf_accession || GCA_045866315.1:gca_accession,local_genome_files"
945,STRAIN_000946,GCF_046097075.1,GCF_046097075.1 | GCA_046097075.1,GCF_046097075 | GCA_046097075,2,"GCF_046097075.1:current_genome_key,primary_accession,gcf_accession || GCA_046097075.1:gca_accession,local_genome_files"
946,STRAIN_000947,GCF_046237615.1,GCF_046237615.1 | GCA_046237615.1,GCF_046237615 | GCA_046237615,2,"GCF_046237615.1:current_genome_key,primary_accession,gcf_accession || GCA_046237615.1:gca_accession,local_genome_files"
947,STRAIN_000948,GCF_046938175.1,GCF_046938175.1 | GCA_046938175.1,GCF_046938175 | GCA_046938175,2,"GCF_046938175.1:current_genome_key,primary_accession,gcf_accession || GCA_046938175.1:gca_accession,local_genome_files"
948,STRAIN_000949,GCF_047223445.1,GCF_047223445.1 | GCA_047223445.1,GCF_047223445 | GCA_047223445,2,"GCF_047223445.1:current_genome_key,primary_accession,gcf_accession || GCA_047223445.1:gca_accession,local_genome_files"
949,STRAIN_000950,GCF_047301025.1,GCF_047301025.1 | GCA_047301025.1,GCF_047301025 | GCA_047301025,2,"GCF_047301025.1:current_genome_key,primary_accession,gcf_accession || GCA_047301025.1:gca_accession,local_genome_files"
950,STRAIN_000951,GCF_047445195.1,GCF_047445195.1 | GCA_047445195.1,GCF_047445195 | GCA_047445195,2,"GCF_047445195.1:current_genome_key,primary_accession,gcf_accession || GCA_047445195.1:gca_accession,local_genome_files"
951,STRAIN_000952,GCF_047456375.1,GCF_047456375.1 | GCA_047456375.1,GCF_047456375 | GCA_047456375,2,"GCF_047456375.1:current_genome_key,primary_accession,gcf_accession || GCA_047456375.1:gca_accession,local_genome_files"
952,STRAIN_000953,GCF_047947225.1,GCF_047947225.1 | GCA_047947225.1,GCF_047947225 | GCA_047947225,2,"GCF_047947225.1:current_genome_key,primary_accession,gcf_accession || GCA_047947225.1:gca_accession,local_genome_files"
953,STRAIN_000954,GCF_048009075.1,GCF_048009075.1 | GCA_048009075.1,GCF_048009075 | GCA_048009075,2,"GCF_048009075.1:current_genome_key,primary_accession,gcf_accession,local_genome_files || GCA_048009075.1:gca_accession,local_genome_files"
954,STRAIN_000955,GCF_048145425.1,GCF_048145425.1 | GCA_048145425.1,GCF_048145425 | GCA_048145425,2,"GCF_048145425.1:current_genome_key,primary_accession,gcf_accession || GCA_048145425.1:gca_accession,local_genome_files"
955,STRAIN_000956,GCF_049180515.1,GCF_049180515.1 | GCA_049180515.1,GCF_049180515 | GCA_049180515,2,"GCF_049180515.1:current_genome_key,primary_accession,gcf_accession || GCA_049180515.1:gca_accession,local_genome_files"
956,STRAIN_000957,GCF_049524615.1,GCF_049524615.1 | GCA_049524615.1,GCF_049524615 | GCA_049524615,2,"GCF_049524615.1:current_genome_key,primary_accession,gcf_accession || GCA_049524615.1:gca_accession,local_genome_files"
957,STRAIN_000958,GCF_049524655.1,GCF_049524655.1 | GCA_049524655.1,GCF_049524655 | GCA_049524655,2,"GCF_049524655.1:current_genome_key,primary_accession,gcf_accession || GCA_049524655.1:gca_accession,local_genome_files"
958,STRAIN_000959,GCF_049524795.1,GCF_049524795.1 | GCA_049524795.1,GCF_049524795 | GCA_049524795,2,"GCF_049524795.1:current_genome_key,primary_accession,gcf_accession || GCA_049524795.1:gca_accession,local_genome_files"
959,STRAIN_000960,GCF_049942745.1,GCF_049942745.1 | GCA_049942745.1,GCF_049942745 | GCA_049942745,2,"GCF_049942745.1:current_genome_key,primary_accession,gcf_accession,local_genome_files || GCA_049942745.1:gca_accession,local_genome_files"
960,STRAIN_000961,GCF_050017215.1,GCF_050017215.1 | GCA_050017215.1,GCF_050017215 | GCA_050017215,2,"GCF_050017215.1:current_genome_key,primary_accession,gcf_accession,local_genome_files || GCA_050017215.1:gca_accession,local_genome_files"
961,STRAIN_000962,GCF_050565525.1,GCF_050565525.1 | GCA_050565525.1,GCF_050565525 | GCA_050565525,2,"GCF_050565525.1:current_genome_key,primary_accession,gcf_accession,local_genome_files || GCA_050565525.1:gca_accession,local_genome_files"
962,STRAIN_000963,GCF_050846705.1,GCF_050846705.1 | GCA_050846705.1,GCF_050846705 | GCA_050846705,2,"GCF_050846705.1:current_genome_key,primary_accession,gcf_accession,local_genome_files || GCA_050846705.1:gca_accession,local_genome_files"
963,STRAIN_000964,GCF_050896535.2,GCF_050896535.2 | GCA_050896535.2,GCF_050896535 | GCA_050896535,2,"GCF_050896535.2:current_genome_key,primary_accession,gcf_accession || GCA_050896535.2:gca_accession,local_genome_files"
964,STRAIN_000965,GCF_051048205.1,GCF_051048205.1 | GCA_051048205.1,GCF_051048205 | GCA_051048205,2,"GCF_051048205.1:current_genome_key,primary_accession,gcf_accession,local_genome_files || GCA_051048205.1:gca_accession,local_genome_files"
965,STRAIN_000966,GCF_051123815.1,GCF_051123815.1 | GCA_051123815.1,GCF_051123815 | GCA_051123815,2,"GCF_051123815.1:current_genome_key,primary_accession,gcf_accession,local_genome_files || GCA_051123815.1:gca_accession,local_genome_files"
966,STRAIN_000967,GCF_051153655.1,GCF_051153655.1 | GCA_051153655.1,GCF_051153655 | GCA_051153655,2,"GCF_051153655.1:current_genome_key,primary_accession,gcf_accession || GCA_051153655.1:gca_accession,local_genome_files"
967,STRAIN_000968,GCF_051217015.1,GCF_051217015.1 | GCA_051217015.1,GCF_051217015 | GCA_051217015,2,"GCF_051217015.1:current_genome_key,primary_accession,gcf_accession,local_genome_files || GCA_051217015.1:gca_accession,local_genome_files"
968,STRAIN_000969,GCF_051388095.1,GCF_051388095.1 | GCA_051388095.1,GCF_051388095 | GCA_051388095,2,"GCF_051388095.1:current_genome_key,primary_accession,gcf_accession || GCA_051388095.1:gca_accession,local_genome_files"
969,STRAIN_000970,GCF_051388175.1,GCF_051388175.1 | GCA_051388175.1,GCF_051388175 | GCA_051388175,2,"GCF_051388175.1:current_genome_key,primary_accession,gcf_accession || GCA_051388175.1:gca_accession,local_genome_files"
970,STRAIN_000971,GCF_051388555.1,GCF_051388555.1 | GCA_051388555.1,GCF_051388555 | GCA_051388555,2,"GCF_051388555.1:current_genome_key,primary_accession,gcf_accession,local_genome_files || GCA_051388555.1:gca_accession,local_genome_files"
971,STRAIN_000972,GCF_051388695.1,GCF_051388695.1 | GCA_051388695.1,GCF_051388695 | GCA_051388695,2,"GCF_051388695.1:current_genome_key,primary_accession,gcf_accession,local_genome_files || GCA_051388695.1:gca_accession,local_genome_files"
972,STRAIN_000973,GCF_051388835.1,GCF_051388835.1 | GCA_051388835.1,GCF_051388835 | GCA_051388835,2,"GCF_051388835.1:current_genome_key,primary_accession,gcf_accession,local_genome_files || GCA_051388835.1:gca_accession,local_genome_files"
973,STRAIN_000974,GCF_051391195.1,GCF_051391195.1 | GCA_051391195.1,GCF_051391195 | GCA_051391195,2,"GCF_051391195.1:current_genome_key,primary_accession,gcf_accession,local_genome_files || GCA_051391195.1:gca_accession,local_genome_files"
974,STRAIN_000975,GCF_051488545.1,GCF_051488545.1 | GCA_051488545.1,GCF_051488545 | GCA_051488545,2,"GCF_051488545.1:current_genome_key,primary_accession,gcf_accession || GCA_051488545.1:gca_accession,local_genome_files"
975,STRAIN_000976,GCF_051550615.1,GCF_051550615.1 | GCA_051550615.1,GCF_051550615 | GCA_051550615,2,"GCF_051550615.1:current_genome_key,primary_accession,gcf_accession || GCA_051550615.1:gca_accession,local_genome_files"
976,STRAIN_000977,GCF_051557165.1,GCF_051557165.1 | GCA_051557165.1,GCF_051557165 | GCA_051557165,2,"GCF_051557165.1:current_genome_key,primary_accession,gcf_accession || GCA_051557165.1:gca_accession,local_genome_files"
977,STRAIN_000978,GCF_051712885.1,GCF_051712885.1 | GCA_051712885.1,GCF_051712885 | GCA_051712885,2,"GCF_051712885.1:current_genome_key,primary_accession,gcf_accession,local_genome_files || GCA_051712885.1:gca_accession,local_genome_files"
978,STRAIN_000979,GCF_051949185.1,GCF_051949185.1 | GCA_051949185.1,GCF_051949185 | GCA_051949185,2,"GCF_051949185.1:current_genome_key,primary_accession,gcf_accession || GCA_051949185.1:gca_accession,local_genome_files"
979,STRAIN_000980,GCF_051990715.1,GCF_051990715.1 | GCA_051990715.1,GCF_051990715 | GCA_051990715,2,"GCF_051990715.1:current_genome_key,primary_accession,gcf_accession || GCA_051990715.1:gca_accession,local_genome_files"
980,STRAIN_000981,GCF_052064905.1,GCF_052064905.1 | GCA_052064905.1,GCF_052064905 | GCA_052064905,2,"GCF_052064905.1:current_genome_key,primary_accession,gcf_accession,local_genome_files || GCA_052064905.1:gca_accession,local_genome_files"
