_registry_row,strain_entity_id,current_genome_key,registry_accession_candidates,registry_accession_bases,n_accession_candidates,accession_source_columns
246,STRAIN_000247,GCF_000414365.1,GCF_000414365.1 | GCA_000414365.1,GCF_000414365 | GCA_000414365,2,"GCF_000414365.1:current_genome_key,primary_accession,gcf_accession || GCA_000414365.1:gca_accession,local_genome_files"
247,STRAIN_000248,GCF_000418475.1,GCF_000418475.1 | GCA_000418475.1,GCF_000418475 | GCA_000418475,2,"GCF_000418475.1:current_genome_key,primary_accession,gcf_accession || GCA_000418475.1:gca_accession,local_genome_files"
248,STRAIN_000249,GCF_000418515.1,GCF_000418515.1 | GCA_000418515.1,GCF_000418515 | GCA_000418515,2,"GCF_000418515.1:current_genome_key,primary_accession,gcf_accession || GCA_000418515.1:gca_accession,local_genome_files"
249,STRAIN_000250,GCF_000422165.1,GCF_000422165.1 | GCA_000422165.1,GCF_000422165 | GCA_000422165,2,"GCF_000422165.1:current_genome_key,primary_accession,gcf_accession || GCA_000422165.1:gca_accession,local_genome_files"
250,STRAIN_000251,GCF_000439275.1,GCF_000439275.1 | GCA_000439275.1,GCF_000439275 | GCA_000439275,2,"GCF_000439275.1:current_genome_key,primary_accession,gcf_accession || GCA_000439275.1:gca_accession,local_genome_files"
251,STRAIN_000252,GCF_000466525.1,GCF_000466525.1 | GCA_000466525.1,GCF_000466525 | GCA_000466525,2,"GCF_000466525.1:current_genome_key,primary_accession,gcf_accession || GCA_000466525.1:gca_accession,local_genome_files"
252,STRAIN_000253,GCF_000466785.3,GCF_000466785.3 | GCA_000466785.3,GCF_000466785 | GCA_000466785,2,"GCF_000466785.3:current_genome_key,primary_accession,gcf_accession || GCA_000466785.3:gca_accession,local_genome_files"
253,STRAIN_000254,GCF_000466905.1,GCF_000466905.1 | GCA_000466905.1,GCF_000466905 | GCA_000466905,2,"GCF_000466905.1:current_genome_key,primary_accession,gcf_accession || GCA_000466905.1:gca_accession,local_genome_files"
254,STRAIN_000255,GCF_000468955.1,GCF_000468955.1 | GCA_000468955.1,GCF_000468955 | GCA_000468955,2,"GCF_000468955.1:current_genome_key,primary_accession,gcf_accession || GCA_000468955.1:gca_accession,local_genome_files"
255,STRAIN_000256,GCF_000469365.1,GCF_000469365.1 | GCA_000469365.1,GCF_000469365 | GCA_000469365,2,"GCF_000469365.1:current_genome_key,primary_accession,gcf_accession || GCA_000469365.1:gca_accession,local_genome_files"
256,STRAIN_000257,GCF_000469745.1,GCF_000469745.1 | GCA_000469745.1,GCF_000469745 | GCA_000469745,2,"GCF_000469745.1:current_genome_key,primary_accession,gcf_accession || GCA_000469745.1:gca_accession,local_genome_files"
257,STRAIN_000258,GCF_000471945.1,GCF_000471945.1 | GCA_000471945.1,GCF_000471945 | GCA_000471945,2,"GCF_000471945.1:current_genome_key,primary_accession,gcf_accession || GCA_000471945.1:gca_accession,local_genome_files"
258,STRAIN_000259,GCF_000472265.1,GCF_000472265.1 | GCA_000472265.1,GCF_000472265 | GCA_000472265,2,"GCF_000472265.1:current_genome_key,primary_accession,gcf_accession || GCA_000472265.1:gca_accession,local_genome_files"
259,STRAIN_000260,GCF_000473935.1,GCF_000473935.1 | GCA_000473935.1,GCF_000473935 | GCA_000473935,2,"GCF_000473935.1:current_genome_key,primary_accession,gcf_accession || GCA_000473935.1:gca_accession,local_genome_files"
260,STRAIN_000261,GCF_000477515.1,GCF_000477515.1 | GCA_000477515.1,GCF_000477515 | GCA_000477515,2,"GCF_000477515.1:current_genome_key,primary_accession,gcf_accession || GCA_000477515.1:gca_accession,local_genome_files"
261,STRAIN_000262,GCF_000478255.1,GCF_000478255.1 | GCA_000478255.2,GCF_000478255 | GCA_000478255,2,"GCF_000478255.1:current_genome_key,primary_accession,gcf_accession || GCA_000478255.2:gca_accession,local_genome_files"
262,STRAIN_000263,GCF_000479375.3,GCF_000479375.3 | GCA_000479375.3,GCF_000479375 | GCA_000479375,2,"GCF_000479375.3:current_genome_key,primary_accession,gcf_accession || GCA_000479375.3:gca_accession,local_genome_files"
263,STRAIN_000264,GCF_000496265.1,GCF_000496265.1 | GCA_000496265.1,GCF_000496265 | GCA_000496265,2,"GCF_000496265.1:current_genome_key,primary_accession,gcf_accession || GCA_000496265.1:gca_accession,local_genome_files"
264,STRAIN_000265,GCF_000497735.1,GCF_000497735.1 | GCA_000497735.1,GCF_000497735 | GCA_000497735,2,"GCF_000497735.1:current_genome_key,primary_accession,gcf_accession || GCA_000497735.1:gca_accession,local_genome_files"
265,STRAIN_000266,GCF_000497795.1,GCF_000497795.1 | GCA_000497795.1,GCF_000497795 | GCA_000497795,2,"GCF_000497795.1:current_genome_key,primary_accession,gcf_accession || GCA_000497795.1:gca_accession,local_genome_files"
266,STRAIN_000267,GCF_000508405.1,GCF_000508405.1 | GCA_000508405.1,GCF_000508405 | GCA_000508405,2,"GCF_000508405.1:current_genome_key,primary_accession,gcf_accession || GCA_000508405.1:gca_accession,local_genome_files"
267,STRAIN_000268,GCF_000510825.1,GCF_000510825.1 | GCA_000510825.1,GCF_000510825 | GCA_000510825,2,"GCF_000510825.1:current_genome_key,primary_accession,gcf_accession || GCA_000510825.1:gca_accession,local_genome_files"
268,STRAIN_000269,GCF_000521285.1,GCF_000521285.1 | GCA_000521285.1,GCF_000521285 | GCA_000521285,2,"GCF_000521285.1:current_genome_key,primary_accession,gcf_accession || GCA_000521285.1:gca_accession,local_genome_files"
269,STRAIN_000270,GCF_000521305.1,GCF_000521305.1 | GCA_000521305.1,GCF_000521305 | GCA_000521305,2,"GCF_000521305.1:current_genome_key,primary_accession,gcf_accession || GCA_000521305.1:gca_accession,local_genome_files"
270,STRAIN_000271,GCF_000521325.1,GCF_000521325.1 | GCA_000521325.1,GCF_000521325 | GCA_000521325,2,"GCF_000521325.1:current_genome_key,primary_accession,gcf_accession || GCA_000521325.1:gca_accession,local_genome_files"
271,STRAIN_000272,GCF_000525715.1,GCF_000525715.1 | GCA_000525715.1,GCF_000525715 | GCA_000525715,2,"GCF_000525715.1:current_genome_key,primary_accession,gcf_accession || GCA_000525715.1:gca_accession,local_genome_files"
272,STRAIN_000273,GCF_000568895.1,GCF_000568895.1 | GCA_000568895.1,GCF_000568895 | GCA_000568895,2,"GCF_000568895.1:current_genome_key,primary_accession,gcf_accession || GCA_000568895.1:gca_accession,local_genome_files"
273,STRAIN_000274,GCF_000568975.1,GCF_000568975.1 | GCA_000568975.1,GCF_000568975 | GCA_000568975,2,"GCF_000568975.1:current_genome_key,primary_accession,gcf_accession || GCA_000568975.1:gca_accession,local_genome_files"
274,STRAIN_000275,GCF_000569035.1,GCF_000569035.1 | GCA_000569035.1,GCF_000569035 | GCA_000569035,2,"GCF_000569035.1:current_genome_key,primary_accession,gcf_accession || GCA_000569035.1:gca_accession,local_genome_files"
275,STRAIN_000276,GCF_000572065.1,GCF_000572065.1 | GCA_000572065.1,GCF_000572065 | GCA_000572065,2,"GCF_000572065.1:current_genome_key,primary_accession,gcf_accession || GCA_000572065.1:gca_accession,local_genome_files"
276,STRAIN_000277,GCF_000572095.1,GCF_000572095.1 | GCA_000572095.1,GCF_000572095 | GCA_000572095,2,"GCF_000572095.1:current_genome_key,primary_accession,gcf_accession || GCA_000572095.1:gca_accession,local_genome_files"
277,STRAIN_000278,GCF_000582665.1,GCF_000582665.1 | GCA_000582665.1,GCF_000582665 | GCA_000582665,2,"GCF_000582665.1:current_genome_key,primary_accession,gcf_accession || GCA_000582665.1:gca_accession,local_genome_files"
278,STRAIN_000279,GCF_000612705.1,GCF_000612705.1 | GCA_000612705.1,GCF_000612705 | GCA_000612705,2,"GCF_000612705.1:current_genome_key,primary_accession,gcf_accession || GCA_000612705.1:gca_accession,local_genome_files"
279,STRAIN_000280,GCF_000615205.1,GCF_000615205.1 | GCA_000615205.1,GCF_000615205 | GCA_000615205,2,"GCF_000615205.1:current_genome_key,primary_accession,gcf_accession || GCA_000615205.1:gca_accession,local_genome_files"
280,STRAIN_000281,GCF_000615245.1,GCF_000615245.1 | GCA_000615245.1,GCF_000615245 | GCA_000615245,2,"GCF_000615245.1:current_genome_key,primary_accession,gcf_accession || GCA_000615245.1:gca_accession,local_genome_files"
281,STRAIN_000282,GCF_000695895.1,GCF_000695895.1 | GCA_000695895.1,GCF_000695895 | GCA_000695895,2,"GCF_000695895.1:current_genome_key,primary_accession,gcf_accession || GCA_000695895.1:gca_accession,local_genome_files"
282,STRAIN_000283,GCF_000698885.1,GCF_000698885.1 | GCA_000698885.1,GCF_000698885 | GCA_000698885,2,"GCF_000698885.1:current_genome_key,primary_accession,gcf_accession || GCA_000698885.1:gca_accession,local_genome_files"
283,STRAIN_000284,GCF_000699465.1,GCF_000699465.1 | GCA_000699465.1,GCF_000699465 | GCA_000699465,2,"GCF_000699465.1:current_genome_key,primary_accession,gcf_accession || GCA_000699465.1:gca_accession,local_genome_files"
284,STRAIN_000285,GCF_000699525.1,GCF_000699525.1 | GCA_000699525.1,GCF_000699525 | GCA_000699525,2,"GCF_000699525.1:current_genome_key,primary_accession,gcf_accession || GCA_000699525.1:gca_accession,local_genome_files"
285,STRAIN_000286,GCF_000702865.1,GCF_000702865.1 | GCA_000702865.1,GCF_000702865 | GCA_000702865,2,"GCF_000702865.1:current_genome_key,primary_accession,gcf_accession || GCA_000702865.1:gca_accession,local_genome_files"
286,STRAIN_000287,GCF_000706705.1,GCF_000706705.1 | GCA_000706705.1,GCF_000706705 | GCA_000706705,2,"GCF_000706705.1:current_genome_key,primary_accession,gcf_accession || GCA_000706705.1:gca_accession,local_genome_files"
287,STRAIN_000288,GCF_000708005.1,GCF_000708005.1 | GCA_000708005.1,GCF_000708005 | GCA_000708005,2,"GCF_000708005.1:current_genome_key,primary_accession,gcf_accession || GCA_000708005.1:gca_accession,local_genome_files"
288,STRAIN_000289,GCF_000712495.1,GCF_000712495.1 | GCA_000712495.1,GCF_000712495 | GCA_000712495,2,"GCF_000712495.1:current_genome_key,primary_accession,gcf_accession || GCA_000712495.1:gca_accession,local_genome_files"
289,STRAIN_000290,GCF_000712555.1,GCF_000712555.1 | GCA_000712555.1,GCF_000712555 | GCA_000712555,2,"GCF_000712555.1:current_genome_key,primary_accession,gcf_accession || GCA_000712555.1:gca_accession,local_genome_files"
290,STRAIN_000291,GCF_000730125.1,GCF_000730125.1 | GCA_000730125.1,GCF_000730125 | GCA_000730125,2,"GCF_000730125.1:current_genome_key,primary_accession,gcf_accession || GCA_000730125.1:gca_accession,local_genome_files"
291,STRAIN_000292,GCF_000731855.1,GCF_000731855.1 | GCA_000731855.1,GCF_000731855 | GCA_000731855,2,"GCF_000731855.1:current_genome_key,primary_accession,gcf_accession || GCA_000731855.1:gca_accession,local_genome_files"
292,STRAIN_000293,GCF_000736295.1,GCF_000736295.1 | GCA_000736295.5,GCF_000736295 | GCA_000736295,2,"GCF_000736295.1:current_genome_key,primary_accession,gcf_accession || GCA_000736295.5:gca_accession,local_genome_files"
293,STRAIN_000294,GCF_000737885.1,GCF_000737885.1 | GCA_000737885.1,GCF_000737885 | GCA_000737885,2,"GCF_000737885.1:current_genome_key,primary_accession,gcf_accession || GCA_000737885.1:gca_accession,local_genome_files"
294,STRAIN_000295,GCF_000741085.1,GCF_000741085.1 | GCA_000741085.1,GCF_000741085 | GCA_000741085,2,"GCF_000741085.1:current_genome_key,primary_accession,gcf_accession || GCA_000741085.1:gca_accession,local_genome_files"
295,STRAIN_000296,GCF_000741245.1,GCF_000741245.1 | GCA_000741245.1,GCF_000741245 | GCA_000741245,2,"GCF_000741245.1:current_genome_key,primary_accession,gcf_accession || GCA_000741245.1:gca_accession,local_genome_files"
296,STRAIN_000297,GCF_000741415.1,GCF_000741415.1 | GCA_000741415.1,GCF_000741415 | GCA_000741415,2,"GCF_000741415.1:current_genome_key,primary_accession,gcf_accession || GCA_000741415.1:gca_accession,local_genome_files"
297,STRAIN_000298,GCF_000741495.1,GCF_000741495.1 | GCA_000741495.1,GCF_000741495 | GCA_000741495,2,"GCF_000741495.1:current_genome_key,primary_accession,gcf_accession || GCA_000741495.1:gca_accession,local_genome_files"
298,STRAIN_000299,GCF_000743075.1,GCF_000743075.1 | GCA_000743075.1,GCF_000743075 | GCA_000743075,2,"GCF_000743075.1:current_genome_key,primary_accession,gcf_accession || GCA_000743075.1:gca_accession,local_genome_files"
299,STRAIN_000300,GCF_000758185.1,GCF_000758185.1 | GCA_000758185.1,GCF_000758185 | GCA_000758185,2,"GCF_000758185.1:current_genome_key,primary_accession,gcf_accession || GCA_000758185.1:gca_accession,local_genome_files"
300,STRAIN_000301,GCF_000762955.1,GCF_000762955.1 | GCA_000762955.1,GCF_000762955 | GCA_000762955,2,"GCF_000762955.1:current_genome_key,primary_accession,gcf_accession || GCA_000762955.1:gca_accession,local_genome_files"
301,STRAIN_000302,GCF_000764285.1,GCF_000764285.1 | GCA_000764285.1,GCF_000764285 | GCA_000764285,2,"GCF_000764285.1:current_genome_key,primary_accession,gcf_accession || GCA_000764285.1:gca_accession,local_genome_files"
302,STRAIN_000303,GCF_000771445.1,GCF_000771445.1 | GCA_000771445.1,GCF_000771445 | GCA_000771445,2,"GCF_000771445.1:current_genome_key,primary_accession,gcf_accession || GCA_000771445.1:gca_accession,local_genome_files"
303,STRAIN_000304,GCF_000771485.1,GCF_000771485.1 | GCA_000771485.1,GCF_000771485 | GCA_000771485,2,"GCF_000771485.1:current_genome_key,primary_accession,gcf_accession || GCA_000771485.1:gca_accession,local_genome_files"
304,STRAIN_000305,GCF_000772485.1,GCF_000772485.1 | GCA_000772485.1,GCF_000772485 | GCA_000772485,2,"GCF_000772485.1:current_genome_key,primary_accession,gcf_accession || GCA_000772485.1:gca_accession,local_genome_files"
305,STRAIN_000306,GCF_000800475.2,GCF_000800475.2 | GCA_000800475.2,GCF_000800475 | GCA_000800475,2,"GCF_000800475.2:current_genome_key,primary_accession,gcf_accession || GCA_000800475.2:gca_accession,local_genome_files"
306,STRAIN_000307,GCF_000807375.1,GCF_000807375.1 | GCA_000807375.1,GCF_000807375 | GCA_000807375,2,"GCF_000807375.1:current_genome_key,primary_accession,gcf_accession || GCA_000807375.1:gca_accession,local_genome_files"
307,STRAIN_000308,GCF_000807975.1,GCF_000807975.1 | GCA_000807975.1,GCF_000807975 | GCA_000807975,2,"GCF_000807975.1:current_genome_key,primary_accession,gcf_accession || GCA_000807975.1:gca_accession,local_genome_files"
308,STRAIN_000309,GCF_000816205.1,GCF_000816205.1 | GCA_000816205.1,GCF_000816205 | GCA_000816205,2,"GCF_000816205.1:current_genome_key,primary_accession,gcf_accession || GCA_000816205.1:gca_accession,local_genome_files"
309,STRAIN_000310,GCF_000817045.1,GCF_000817045.1 | GCA_000817045.1,GCF_000817045 | GCA_000817045,2,"GCF_000817045.1:current_genome_key,primary_accession,gcf_accession || GCA_000817045.1:gca_accession,local_genome_files"
310,STRAIN_000311,GCF_000817975.1,GCF_000817975.1 | GCA_000817975.1,GCF_000817975 | GCA_000817975,2,"GCF_000817975.1:current_genome_key,primary_accession,gcf_accession || GCA_000817975.1:gca_accession,local_genome_files"
311,STRAIN_000312,GCF_000817995.1,GCF_000817995.1 | GCA_000817995.1,GCF_000817995 | GCA_000817995,2,"GCF_000817995.1:current_genome_key,primary_accession,gcf_accession || GCA_000817995.1:gca_accession,local_genome_files"
312,STRAIN_000313,GCF_000818055.1,GCF_000818055.1 | GCA_000818055.1,GCF_000818055 | GCA_000818055,2,"GCF_000818055.1:current_genome_key,primary_accession,gcf_accession || GCA_000818055.1:gca_accession,local_genome_files"
313,STRAIN_000314,GCF_000827065.1,GCF_000827065.1 | GCA_000827065.1,GCF_000827065 | GCA_000827065,2,"GCF_000827065.1:current_genome_key,primary_accession,gcf_accession || GCA_000827065.1:gca_accession,local_genome_files"
314,STRAIN_000315,GCF_000829035.1,GCF_000829035.1 | GCA_000829035.1,GCF_000829035 | GCA_000829035,2,"GCF_000829035.1:current_genome_key,primary_accession,gcf_accession || GCA_000829035.1:gca_accession,local_genome_files"
315,STRAIN_000316,GCF_000829055.1,GCF_000829055.1 | GCA_000829055.1,GCF_000829055 | GCA_000829055,2,"GCF_000829055.1:current_genome_key,primary_accession,gcf_accession || GCA_000829055.1:gca_accession,local_genome_files"
316,STRAIN_000317,GCF_000829295.1,GCF_000829295.1 | GCA_000829295.1,GCF_000829295 | GCA_000829295,2,"GCF_000829295.1:current_genome_key,primary_accession,gcf_accession || GCA_000829295.1:gca_accession,local_genome_files"
317,STRAIN_000318,GCF_000830535.1,GCF_000830535.1 | GCA_000830535.1,GCF_000830535 | GCA_000830535,2,"GCF_000830535.1:current_genome_key,primary_accession,gcf_accession || GCA_000830535.1:gca_accession,local_genome_files"
318,STRAIN_000319,GCF_000832905.1,GCF_000832905.1 | GCA_000832905.1,GCF_000832905 | GCA_000832905,2,"GCF_000832905.1:current_genome_key,primary_accession,gcf_accession || GCA_000832905.1:gca_accession,local_genome_files"
319,STRAIN_000320,GCF_000835975.1,GCF_000835975.1 | GCA_000835975.1,GCF_000835975 | GCA_000835975,2,"GCF_000835975.1:current_genome_key,primary_accession,gcf_accession || GCA_000835975.1:gca_accession,local_genome_files"
320,STRAIN_000321,GCF_000836595.1,GCF_000836595.1 | GCA_000836595.1,GCF_000836595 | GCA_000836595,2,"GCF_000836595.1:current_genome_key,primary_accession,gcf_accession || GCA_000836595.1:gca_accession,local_genome_files"
321,STRAIN_000322,GCF_000836675.1,GCF_000836675.1 | GCA_000836675.1,GCF_000836675 | GCA_000836675,2,"GCF_000836675.1:current_genome_key,primary_accession,gcf_accession || GCA_000836675.1:gca_accession,local_genome_files"
322,STRAIN_000323,GCF_000875905.1,GCF_000875905.1 | GCA_000875905.1,GCF_000875905 | GCA_000875905,2,"GCF_000875905.1:current_genome_key,primary_accession,gcf_accession || GCA_000875905.1:gca_accession,local_genome_files"
323,STRAIN_000324,GCF_000876545.1,GCF_000876545.1 | GCA_000876545.1,GCF_000876545 | GCA_000876545,2,"GCF_000876545.1:current_genome_key,primary_accession,gcf_accession || GCA_000876545.1:gca_accession,local_genome_files"
324,STRAIN_000325,GCF_000931425.2,GCF_000931425.2 | GCA_000931425.2,GCF_000931425 | GCA_000931425,2,"GCF_000931425.2:current_genome_key,primary_accession,gcf_accession || GCA_000931425.2:gca_accession,local_genome_files"
325,STRAIN_000326,GCF_000932035.1,GCF_000932035.1 | GCA_000932035.1,GCF_000932035 | GCA_000932035,2,"GCF_000932035.1:current_genome_key,primary_accession,gcf_accession || GCA_000932035.1:gca_accession,local_genome_files"
326,STRAIN_000327,GCF_000934625.1,GCF_000934625.1 | GCA_000934625.1,GCF_000934625 | GCA_000934625,2,"GCF_000934625.1:current_genome_key,primary_accession,gcf_accession || GCA_000934625.1:gca_accession,local_genome_files"
327,STRAIN_000328,GCF_000940535.1,GCF_000940535.1 | GCA_000940535.1,GCF_000940535 | GCA_000940535,2,"GCF_000940535.1:current_genome_key,primary_accession,gcf_accession || GCA_000940535.1:gca_accession,local_genome_files"
328,STRAIN_000329,GCF_000949485.1,GCF_000949485.1 | GCA_000949485.1,GCF_000949485 | GCA_000949485,2,"GCF_000949485.1:current_genome_key,primary_accession,gcf_accession || GCA_000949485.1:gca_accession,local_genome_files"
329,STRAIN_000330,GCF_000956195.1,GCF_000956195.1 | GCA_000956195.1,GCF_000956195 | GCA_000956195,2,"GCF_000956195.1:current_genome_key,primary_accession,gcf_accession || GCA_000956195.1:gca_accession,local_genome_files"
330,STRAIN_000331,GCF_000958525.1,GCF_000958525.1 | GCA_000958525.1,GCF_000958525 | GCA_000958525,2,"GCF_000958525.1:current_genome_key,primary_accession,gcf_accession || GCA_000958525.1:gca_accession,local_genome_files"
331,STRAIN_000332,GCF_000961015.1,GCF_000961015.1 | GCA_000961015.1,GCF_000961015 | GCA_000961015,2,"GCF_000961015.1:current_genome_key,primary_accession,gcf_accession || GCA_000961015.1:gca_accession,local_genome_files"
332,STRAIN_000333,GCF_000966835.2,GCF_000966835.2 | GCA_000966835.2,GCF_000966835 | GCA_000966835,2,"GCF_000966835.2:current_genome_key,primary_accession,gcf_accession || GCA_000966835.2:gca_accession,local_genome_files"
333,STRAIN_000334,GCF_000971665.1,GCF_000971665.1 | GCA_000971665.1,GCF_000971665 | GCA_000971665,2,"GCF_000971665.1:current_genome_key,primary_accession,gcf_accession || GCA_000971665.1:gca_accession,local_genome_files"
334,STRAIN_000335,GCF_001005625.1,GCF_001005625.1 | GCA_001005625.1,GCF_001005625 | GCA_001005625,2,"GCF_001005625.1:current_genome_key,primary_accession,gcf_accession || GCA_001005625.1:gca_accession,local_genome_files"
335,STRAIN_000336,GCF_001005695.1,GCF_001005695.1 | GCA_001005695.1,GCF_001005695 | GCA_001005695,2,"GCF_001005695.1:current_genome_key,primary_accession,gcf_accession || GCA_001005695.1:gca_accession,local_genome_files"
336,STRAIN_000337,GCF_001005805.1,GCF_001005805.1 | GCA_001005805.1,GCF_001005805 | GCA_001005805,2,"GCF_001005805.1:current_genome_key,primary_accession,gcf_accession || GCA_001005805.1:gca_accession,local_genome_files"
337,STRAIN_000338,GCF_001006025.1,GCF_001006025.1 | GCA_001006025.1,GCF_001006025 | GCA_001006025,2,"GCF_001006025.1:current_genome_key,primary_accession,gcf_accession || GCA_001006025.1:gca_accession,local_genome_files"
338,STRAIN_000339,GCF_001008015.1,GCF_001008015.1 | GCA_001008015.1,GCF_001008015 | GCA_001008015,2,"GCF_001008015.1:current_genome_key,primary_accession,gcf_accession || GCA_001008015.1:gca_accession,local_genome_files"
339,STRAIN_000340,GCF_001010175.1,GCF_001010175.1 | GCA_001010175.1,GCF_001010175 | GCA_001010175,2,"GCF_001010175.1:current_genome_key,primary_accession,gcf_accession || GCA_001010175.1:gca_accession,local_genome_files"
340,STRAIN_000341,GCF_001010185.1,GCF_001010185.1 | GCA_001010185.1,GCF_001010185 | GCA_001010185,2,"GCF_001010185.1:current_genome_key,primary_accession,gcf_accession || GCA_001010185.1:gca_accession,local_genome_files"
341,STRAIN_000342,GCF_001010245.1,GCF_001010245.1 | GCA_001010245.1,GCF_001010245 | GCA_001010245,2,"GCF_001010245.1:current_genome_key,primary_accession,gcf_accession || GCA_001010245.1:gca_accession,local_genome_files"
342,STRAIN_000343,GCF_001010915.1,GCF_001010915.1 | GCA_001010915.1,GCF_001010915 | GCA_001010915,2,"GCF_001010915.1:current_genome_key,primary_accession,gcf_accession || GCA_001010915.1:gca_accession,local_genome_files"
343,STRAIN_000344,GCF_001010995.2,GCF_001010995.2 | GCA_001010995.2,GCF_001010995 | GCA_001010995,2,"GCF_001010995.2:current_genome_key,primary_accession,gcf_accession || GCA_001010995.2:gca_accession,local_genome_files"
344,STRAIN_000345,GCF_001013375.1,GCF_001013375.1 | GCA_001013375.1,GCF_001013375 | GCA_001013375,2,"GCF_001013375.1:current_genome_key,primary_accession,gcf_accession || GCA_001013375.1:gca_accession,local_genome_files"
345,STRAIN_000346,GCF_001020245.1,GCF_001020245.1 | GCA_001020245.1,GCF_001020245 | GCA_001020245,2,"GCF_001020245.1:current_genome_key,primary_accession,gcf_accession || GCA_001020245.1:gca_accession,local_genome_files"
346,STRAIN_000347,GCF_001020355.1,GCF_001020355.1 | GCA_001020355.1,GCF_001020355 | GCA_001020355,2,"GCF_001020355.1:current_genome_key,primary_accession,gcf_accession || GCA_001020355.1:gca_accession,local_genome_files"
347,STRAIN_000348,GCF_001020415.1,GCF_001020415.1 | GCA_001020415.1,GCF_001020415 | GCA_001020415,2,"GCF_001020415.1:current_genome_key,primary_accession,gcf_accession || GCA_001020415.1:gca_accession,local_genome_files"
348,STRAIN_000349,GCF_001025135.1,GCF_001025135.1 | GCA_001025135.1,GCF_001025135 | GCA_001025135,2,"GCF_001025135.1:current_genome_key,primary_accession,gcf_accession || GCA_001025135.1:gca_accession,local_genome_files"
349,STRAIN_000350,GCF_001025175.1,GCF_001025175.1 | GCA_001025175.1,GCF_001025175 | GCA_001025175,2,"GCF_001025175.1:current_genome_key,primary_accession,gcf_accession || GCA_001025175.1:gca_accession,local_genome_files"
350,STRAIN_000351,GCF_001025195.1,GCF_001025195.1 | GCA_001025195.1,GCF_001025195 | GCA_001025195,2,"GCF_001025195.1:current_genome_key,primary_accession,gcf_accession || GCA_001025195.1:gca_accession,local_genome_files"
351,STRAIN_000352,GCF_001025215.1,GCF_001025215.1 | GCA_001025215.1,GCF_001025215 | GCA_001025215,2,"GCF_001025215.1:current_genome_key,primary_accession,gcf_accession || GCA_001025215.1:gca_accession,local_genome_files"
352,STRAIN_000353,GCF_001039495.1,GCF_001039495.1 | GCA_001039495.1,GCF_001039495 | GCA_001039495,2,"GCF_001039495.1:current_genome_key,primary_accession,gcf_accession || GCA_001039495.1:gca_accession,local_genome_files"
353,STRAIN_000354,GCF_001042595.1,GCF_001042595.1 | GCA_001042595.1,GCF_001042595 | GCA_001042595,2,"GCF_001042595.1:current_genome_key,primary_accession,gcf_accession || GCA_001042595.1:gca_accession,local_genome_files"
354,STRAIN_000355,GCF_001050555.1,GCF_001050555.1 | GCA_001050555.1,GCF_001050555 | GCA_001050555,2,"GCF_001050555.1:current_genome_key,primary_accession,gcf_accession || GCA_001050555.1:gca_accession,local_genome_files"
355,STRAIN_000356,GCF_001051015.2,GCF_001051015.2 | GCA_001051015.2,GCF_001051015 | GCA_001051015,2,"GCF_001051015.2:current_genome_key,primary_accession,gcf_accession || GCA_001051015.2:gca_accession,local_genome_files"
356,STRAIN_000357,GCF_001067215.1,GCF_001067215.1 | GCA_001067215.1,GCF_001067215 | GCA_001067215,2,"GCF_001067215.1:current_genome_key,primary_accession,gcf_accession || GCA_001067215.1:gca_accession,local_genome_files"
357,STRAIN_000358,GCF_001191565.1,GCF_001191565.1 | GCA_001191565.1,GCF_001191565 | GCA_001191565,2,"GCF_001191565.1:current_genome_key,primary_accession,gcf_accession || GCA_001191565.1:gca_accession,local_genome_files"
358,STRAIN_000359,GCF_001244395.1,GCF_001244395.1 | GCA_001244395.1,GCF_001244395 | GCA_001244395,2,"GCF_001244395.1:current_genome_key,primary_accession,gcf_accession || GCA_001244395.1:gca_accession,local_genome_files"
359,STRAIN_000360,GCF_001263975.1,GCF_001263975.1 | GCA_001263975.1,GCF_001263975 | GCA_001263975,2,"GCF_001263975.1:current_genome_key,primary_accession,gcf_accession || GCA_001263975.1:gca_accession,local_genome_files"
360,STRAIN_000361,GCF_001263985.1,GCF_001263985.1 | GCA_001263985.1,GCF_001263985 | GCA_001263985,2,"GCF_001263985.1:current_genome_key,primary_accession,gcf_accession || GCA_001263985.1:gca_accession,local_genome_files"
361,STRAIN_000362,GCF_001272315.2,GCF_001272315.2 | GCA_001272315.2,GCF_001272315 | GCA_001272315,2,"GCF_001272315.2:current_genome_key,primary_accession,gcf_accession || GCA_001272315.2:gca_accession,local_genome_files"
362,STRAIN_000363,GCF_001278015.1,GCF_001278015.1 | GCA_001278015.1,GCF_001278015 | GCA_001278015,2,"GCF_001278015.1:current_genome_key,primary_accession,gcf_accession || GCA_001278015.1:gca_accession,local_genome_files"
363,STRAIN_000364,GCF_001280285.1,GCF_001280285.1 | GCA_001280285.1,GCF_001280285 | GCA_001280285,2,"GCF_001280285.1:current_genome_key,primary_accession,gcf_accession || GCA_001280285.1:gca_accession,local_genome_files"
364,STRAIN_000365,GCF_001281305.1,GCF_001281305.1 | GCA_001281305.1,GCF_001281305 | GCA_001281305,2,"GCF_001281305.1:current_genome_key,primary_accession,gcf_accession || GCA_001281305.1:gca_accession,local_genome_files"
365,STRAIN_000366,GCF_001281345.1,GCF_001281345.1 | GCA_001281345.1,GCF_001281345 | GCA_001281345,2,"GCF_001281345.1:current_genome_key,primary_accession,gcf_accession || GCA_001281345.1:gca_accession,local_genome_files"
